Codigo,Numero,Titulo,CodigoAmbito,Ambito,Municipio,TiposNorma,IdTiposNorma,Tags
DIR 2003/35 EUR,35,"Directiva 2003/35/CE del Parlamento Europeo y del Consejo, de 26 de mayo de 2003, por la que se establecen medidas para la participación del público en la elaboración de determinados planes y programas relacionados con el medio ambiente y por la que se modifican, en lo que se refiere a la participación del público y el acceso a la justicia, las Directivas 85/337/CEE y 96/61/CE del Consejo",  EUR,Europa,,M. Ambiente,[1],Directiva 2003/35
DIR 2003/36 EUR,36,"Directiva 2003/36/CE del Parlamento Europeo y del Consejo de 26 de mayo de 2003 por la que se modifica por vigésima quinta vez la Directiva 76/769/CEE del Consejo relativa a la aproximación de las disposiciones legales, reglamentarias y administrativas de los Estados miembros que limitan la comercialización y el uso de determinadas sustancias y preparados peligrosos.",  EUR,Europa,,M. Ambiente / Prevención,[1][2],"Directiva 2003/36, Directiva 76/769"
DIR 2003/4 EUR,4,Directiva 2003/4/CE del Parlamento Europeo y del Consejo de 28 de enero de 2003 relativa al acceso del público a la información medioambiental y por la que se deroga la Directiva 90/313/CEE del Consejo.,  EUR,Europa,,M. Ambiente,[1],"Directiva 2003/4, Directiva 90/313"
DIR 2003/40 EUR,40,"Directiva 2003/40/CE de la Comisión de 16 de mayo de 2003 por la que se fija la lista, los límites de concentración y las indicaciones de etiquetado para los componentes de las aguas minerales naturales, así como las condiciones de utilización del aire enriquecido con ozono para el tratamiento de las aguas minerales naturales y de las aguas de manantial.",  EUR,Europa,,Seg. Alimentaria,[7],Directiva 2003/40
DIR 2003/53 EUR,53,Directiva 2003/53/CE del Parlamento Europeo y del Consejo de 18 de junio de 2003 por la que se modifica por vigésimo sexta vez la Directiva 76/769/CEE del Consejo respecto a la limitación de la comercialización y el uso de determinadas sustancias y preparados peligrosos.,  EUR,Europa,,M. Ambiente / Prevención,[1][2],"Directiva 2003/53, Directiva 76/769"
DIR 2003/58 EUR,58,"Directiva 2003/58/CE del Parlamento Europeo y del Consejo, de 15 de julio de 2003, por la que se modifica la Directiva 68/151/CEE del Consejo en lo relativo a los requisitos de información con respecto a ciertos tipos de empresas.",  EUR,Europa,,M. Ambiente / Prevención,[1][2],"Directiva 2003/58, Directiva 68/151"
DIR 2003/73 EUR,73,"Directiva 2003/73/CE de la Comisión, de 24 de julio de 2003, por la que se modifica el anexo III de la Directiva 1999/94/CE del Parlamento Europeo y del Consejo.",  EUR,Europa,,M. Ambiente,[1],"Directiva 2003/73, Directiva 1999/94"
DIR 2003/76 EUR,76,Directiva 2003/76/CE de la comisión de 11 de agosto de 2003 por la que se modifica la Directiva 70/220/CEE del Consejo relativa a las medidas que deben adoptarse contra la contaminación atmosférica causada por las emisiones de los vehículos a motor.,  EUR,Europa,,M. Ambiente,[1],"Directiva 2003/76, Directiva 70/220"
DIR 2003/87 EUR,87,Directiva 2003/87/CE del parlamento europeo y del consejo de 13 de octubre de 2003 por la que se establece un régimen para el comercio de derechos de emisión de gases de efecto invernadero en la Comunidad y por la que se modifica la Directiva 96/61/CE del Consejo,  EUR,Europa,,M. Ambiente,[1],"Directiva 2003/87, Directiva 96/61"
DIR 2003/88 EUR,88,Directiva 2003/88/CE del Parlamento Europeo y del Consejo de 4 de noviembre de 2003 relativa a determinados aspectos de la ordenación del tiempo de trabajo,  EUR,Europa,,Prevención,[2],Directiva 2003/88
DIR 2004/101 EUR,101,"Directiva 2004/101/CE del Parlamento Europeo y del Consejo, de 27 de octubre de 2004, por la que se modifica la Directiva 2003/87/CE, por la que se establece un régimen para el comercio de derechos de emisión de gases de efecto invernadero en la Comunidad con respecto a los mecanismos de proyectos del Protocolo de Kioto.",  EUR,Europa,,M. Ambiente,[1],"Directiva 2004/101, Directiva 2003/87"
DIR 2004/107 EUR,107,"Directiva 2004/107/CE del Parlamento Europeo y del Consejo, de 15 de diciembre de 2004, relativa al arsénico, el cadmio, el mercurio, el níquel y los hidrocarburos aromáticos policíclicos en el aire ambiente.",  EUR,Europa,,M. Ambiente / Prevención,[1][2],Directiva 2004/107
DIR 2004/108 EUR,108,Directiva 2004/108/CE del Parlamento Europeo y del Consejo de 15 de diciembre de 2004 relativa a la aproximación de las legislaciones de los Estados miembros en materia de compatibilidad electromagnética y por la que se deroga la Directiva 89/336/CEE.,  EUR,Europa,,Prevención,[2],"Directiva 2004/108, Directiva 89/336"
DIR 2004/110 EUR,110,"Directiva 2004/110/CE de la Comisión de 9 de diciembre de 2004 por la que se adapta por sexta vez al progreso técnico la Directiva 96/49/CE del Consejo, sobre la aproximación de las legislaciones de los Estados miembros relativas al transporte de mercancías peligrosas por ferrocarril.",  EUR,Europa,,M. Ambiente / Prevención,[1][2],"Directiva 2004/110, Directiva 96/49"
DIR 2004/111 EUR,111,Directiva 2004/111/CE de la Comisión de 9 de diciembre de 2004 por la que se adapta por quinta vez al progreso técnico la Directiva 94/55/CE del Consejo sobre la aproximación de las legislaciones de los Estados miembros con respecto al transporte de mercancías peligrosas por carretera.,  EUR,Europa,,M. Ambiente / Prevención,[1][2],"Directiva 2004/111, Directiva 94/55"
DIR 2004/112 EUR,112,"Directiva 2004/112/CE de la Comisión, de 13 de diciembre de 2004, por la que se adapta al progreso técnico la Directiva 95/50/CE del Consejo relativa a procedimientos uniformes de control del transporte de mercancías peligrosas por carretera.",  EUR,Europa,,M. Ambiente / Prevención,[1][2],"Directiva 2004/112, Directiva 95/50"
DIR 2004/12 EUR,12,"Directiva 2004/12/CE del Parlamento Europeo y del Consejo, de 11 de febrero de 2004, por la que se modifica la Directiva 94/62/CE relativa a los envases y residuos de envases.",  EUR,Europa,,M. Ambiente,[1],"Directiva 2004/12, Directiva 94/62"
DIR 2004/21 EUR,21,"Directiva 2004/21/CE de la comisión de 24 de febrero de 2004, relativa a la limitación de la comercialización y el uso de colorantes azoicos (decimotercera adaptación al progreso técnico de la Directiva 1976/769/CEE del Consejo).",  EUR,Europa,,M. Ambiente / Prevención,[1][2],"Directiva 2004/21, Directiva 1976/769"
DIR 2004/35 EUR,35,"Directiva 2004/35/CE del Parlamento Europeo y del Consejo, de 21 de abril de 2004, sobre responsabilidad medioambiental en relación con la prevención y reparación de daños medioambientales",  EUR,Europa,,M. Ambiente,[1],Directiva 2004/35
DIR 2004/37 EUR,37,Directiva 2004/37/CE del Parlamento Europeo y del Consejo de 29 de abril de 2004 relativa a la protección de los trabajadores contra los riesgos relacionados con la exposición a agentes carcinógenos o mutágenos durante el trabajo,  EUR,Europa,,Prevención,[2],Directiva 2004/37
DIR 2004/40 EUR,40,"Directiva 2004/40/CE del Parlamento Europeo y del Consejo de 29 de abril de 2004, sobre las disposiciones mínimas de seguridad y de salud relativas a la exposición de los trabajadores a los riesgos derivados de los agentes físicos (campos electromagnéticos) (decimoctava Directiva específica con arreglo al apartado 1 del artículo 16 de la Directiva 89/391/CEE).",  EUR,Europa,,Prevención,[2],"Directiva 2004/40, Directiva 89/391"
DIR 2004/42 EUR,42,"Directiva 2004/42/CE, del Parlamento Europeo y del Consejo, de 21 de abril de 2004, relativa a la limitación de las emisiones de compuestos orgánicos volátiles (COV) debidas al uso de disolventes orgánicos en determinadas pinturas y barnices y en los productos de renovación del acabado de vehículos, por la que se modifica la Directiva 1999/13/CE",  EUR,Europa,,M. Ambiente,[1],"Directiva 2004/42, Directiva 1999/13"
DIR 2004/73 EUR,73,"Directiva 2004/73/CE de la Comisión de 29 de abril de 2004 por la que se adapta, por vigésima novena vez, al progreso técnico la Directiva 67/548/CEE del Consejo relativa a la aproximación de las disposiciones legales, reglamentarias y administrativas den materia de clasificación, embalaje y etiquetado de las sustancias peligrosas.",  EUR,Europa,,M. Ambiente / Prevención,[1][2],"Directiva 2004/73, Directiva 67/548"
DIR 2004/8 EUR,8,Directiva 2004/8/CE del parlamento europeo y del consejo de 11 de febrero de 2004 relativa al fomento de la cogeneración sobre la base de la demanda de calor útil en el mercado interior de la energía y por la que se modifica la Directiva 92/42/CEE.,  EUR,Europa,,M. Ambiente,[1],"Directiva 2004/8, Directiva 92/42"
DIR 2004/89 EUR,89,Directiva 2004/89/CE de la Comisión de 13 de septiembre de 2004 por la que se adapta por quinta vez al progreso técnico la Directiva 96/49/CE del Consejo sobre la aproximación de las legislaciones de los Estados miembros relativas al transporte de mercancías peligrosas por ferrocarril.,  EUR,Europa,,M. Ambiente / Prevención,[1][2],"Directiva 2004/89, Directiva 96/49"
DIR 2004/96 EUR,96,Directiva 2004/96/CE de 27 de septiembre de 2004 por la que se modifica la Directiva 76/769/CEE del Consejo en relación con la limitación de la comercialización y el uso de níquel en los dispositivos de perforación para la adaptación de su anexo I al progreso técnico.,  EUR,Europa,,M. Ambiente / Prevención,[1][2],"Directiva 2004/96, Directiva 76/769"
DIR 2004/98 EUR,98,Directiva 2004/98/CE de la Comisión de 30 de septiembre de 2004 que modifica la Directiva 76/769/CEE del Consejo por lo que respecta a las restricciones de la comercialización y el uso de éter de pentabromodifenilo en sistemas de evacuación de emergencia de aeronaves con el fin de adaptar su anexo I al progreso técnico.,  EUR,Europa,,M. Ambiente / Prevención,[1][2],"Directiva 2004/98, Directiva 76/769"
DIR 2005/20 EUR,20,"Directiva 2005/20/CE del Parlamento Europeo y del Consejo, de 9 de marzo de 2005, por la que se modifica la Directiva 94/62/CE relativa a los envases y residuos de envases.",  EUR,Europa,,M. Ambiente,[1],"Directiva 2005/20, Directiva 94/62"
DIR 2005/32 EUR,32,"Directiva 2005/32/CE del Parlamento Europeo y del Consejo, de 6 de julio de 2005, por la que se instaura un marco para el establecimiento de requisitos de diseño ecológico aplicables a los productos que utilizan energía y por la que se modifica la Directiva 92/42/CEE del Consejo y las Directivas 96/57/CE y 2000/55/CE del Parlamento Europeo y del Consejo.",  EUR,Europa,,M. Ambiente,[1],"Directiva 2005/32, Directiva 92/42"
DIR 2005/33 EUR,33,Directiva 2005/33/CE del Parlamento Europeo y del Consejo de 6 de julio de 2005 por la que se modifica la Directiva 1999/32/CE en lo relativo al contenido de azufre de los combustibles para uso marítimo.,  EUR,Europa,,Reg. Industrial,[3],"Directiva 2005/33, Directiva 1999/32"
DIR 2005/55 EUR,55,"Directiva 2005/55/CE del Parlamento Europeo y del Consejo de 28 de septiembre de 2005 relativa a la aproximación de las legislaciones de los Estados miembros sobre las medidas que deben adoptarse contra la emisión de gases y partículas contaminantes procedentes de motores de encendido por compresión destinados a la propulsión de vehículos, y contra la emisión de gases contaminantes procedentes de motores de encendido por chispa alimentados con gas natural o gas licuado del petróleo destinados a la propulsión de vehículos.",  EUR,Europa,,M. Ambiente,[1],Directiva 2005/55
DIR 2005/59 EUR,59,"Directiva 2005/59/CE del Parlamento Europeo y del Consejo de 26 de octubre de 2005 por la que se modifica por vigésima octava vez la Directiva 76/769/CEE del Consejo relativa a la aproximación de las disposiciones legales, reglamentarias y administrativas de los Estados miembros que limitan la comercialización y el uso de determinadas sustancias y preparados peligrosos (tolueno y triclorobenceno).",  EUR,Europa,,M. Ambiente / Prevención,[1][2],"Directiva 2005/59, Directiva 76/769"
DIR 2005/64 EUR,64,"Directiva 2005/64/CE del Parlamento europeo y del consejo, de 26 de octubre de 2005, relativa a la homologación de tipo de los vehículos de motor en lo que concierne a su aptitud para la reutilización, el reciclado y la valorización y por la que se modifica la Directiva 70/156/CEE del Consejo.",  EUR,Europa,,M. Ambiente / Reg. Industrial,[1][3],"Directiva 2005/64, Directiva 70/156"
DIR 2005/69 EUR,69,"Directiva 2005/69/CE del Parlamento Europeo y del Consejo de 16 de noviembre de 2005 por la que se modifica por vigesimoséptima vez la Directiva 76/769/CE del Consejo relativa a la aproximación de las disposiciones legales, reglamentarias y administrativas de los Estados miembros que limitan la comercialización y el uso de determinadas sustancias y preparados peligrosos (hidrocarburos aromáticos policíclicos en aceites diluyentes y en neumáticos).",  EUR,Europa,,M. Ambiente / Prevención,[1][2],"Directiva 2005/69, Directiva 76/769"
DIR 2005/78 EUR,78,"Directiva 2005/78/CE  de la Comisión de 14 de noviembre de 2005 por la que se aplica la Directiva 2005/55/CE del Parlamento Europeo y del Consejo relativa a la aproximación de las legislaciones de los Estados miembros sobre las medidas que deben adoptarse contra la emisión de gases y partículas contaminantes procedentes de motores de encendido por compresión destinados a la propulsión de vehículos, y contra la emisión de gases contaminantes procedentes de motores de encendido por chispa alimentados con gas natural o gas licuado del petróleo destinados a la propulsión de vehículos, y se modifican sus anexos I, II, III, IV y VI.",  EUR,Europa,,M. Ambiente,[1],"Directiva 2005/78, Directiva 2005/55"
DIR 2005/84 EUR,84,"Directiva 2005/84/CE del Parlamento Europeo y del Consejo de 14 de diciembre de 2005 por la que se modifica por vigésimo segunda vez la Directiva 76/769/CEE del Consejo relativa a la aproximación e las disposiciones legales, reglamentarias y administrativas de los Estados miembros que limitan la comercialización y el uso dedeterminadas sustancias y preparados peligrosos (ftalatos en los juguetes y artículos de puericultura).",  EUR,Europa,,M. Ambiente / Prevención,[1][2],"Directiva 2005/84, Directiva 76/769"
DIR 2005/88 EUR,88,Directiva 2005/88/CE del Parlamento Europeo y del Consejo de 14 de diciembre de 2005 por la que se modifica la Directiva 2000/14/CE relativa a la aproximación de las legislaciones de los Estados miembros sobre emisiones sonoras en el entorno debidas a las máquinas de uso al aire libre.,  EUR,Europa,,Prevención,[2],"Directiva 2005/88, Directiva 2000/14"
DIR 2005/90 EUR,90,"Directiva 2005/90/CE del Parlamento Europeo y del Consejo de 18 de enero de 2006 por la que se modifica por vigesimonovena vez la directiva 76/769/cee del consejo relativa a la aproximación de las disposiciones legales, reglamentarias y administrativas de los estados miembros que limitan la comercialización y el uso de determinadas sustancias y preparados peligrosos (sustancias clasificadas como carcinógenas, mutágenas o tóxicas para la reproducción — c/m/r)",  EUR,Europa,,M. Ambiente / Prevención,[1][2],"Directiva 2005/90, directiva 76/769"
DIR 2006/105 EUR,105,"Directiva 2006/105/CE del Consejo, de 20 de noviembre de 2006, por la que se adaptan las Directivas 79/409/CEE, 92/43/CEE, 97/68/CE, 2001/80/CE y 2001/81/CE en el ámbito del medio ambiente, con motivo de la adhesión de Bulgaria y Rumanía.",  EUR,Europa,,M. Ambiente,[1],Directiva 2006/105
DIR 2006/11 EUR,11,"Directiva 2006/11/CE del Parlamento Europeo y del Consejo, de 15 de febrero de 2006 , relativa a la contaminación causada por determinadas sustancias peligrosas vertidas en el medio acuático de la Comunidad.",  EUR,Europa,,M. Ambiente,[1],Directiva 2006/11
DIR 2006/117 EUR,117,Directiva 2006/117/EURATOM del consejo de 20 de noviembre de 2006 relativa a la vigilancia y al control de los traslados de residuos radiactivos y combustible nuclear gastado.,  EUR,Europa,,M. Ambiente / Prevención,[1][2],Directiva 2006/117
DIR 2006/118 EUR,118,Directiva 2006/118/CE del Parlamento Europeo y del Consejo de 12 de diciembre de 2006 relativa a la protección de las aguas subterráneas contra la contaminación y el deterioro.,  EUR,Europa,,M. Ambiente,[1],Directiva 2006/118
DIR 2006/12 EUR,12,Directiva 2006/12/CE del Parlamento europeo y del Consejo de 5 de abril de 2006 relativa a los residuos.,  EUR,Europa,,M. Ambiente,[1],Directiva 2006/12
DIR 2006/121 EUR,121,"Directiva 2006/121/CE del Parlamento Europeo y del Consejo de 18 de diciembre de 2006 por la que se modifica la Directiva 67/548/CEE del Consejo, relativa a la aproximación de las disposiciones legales, reglamentarias y administrativas en materia de clasificación, embalaje y etiquetado de las sustancias peligrosas, para adaptarla al Reglamento (CE) nº 1907/2006 relativo al registro, la evaluación, la autorización y la restricción de las sustancias y preparados químicos (REACH), y por el que se crea la Agencia Europea de Sustancias y Preparados Químicos",  EUR,Europa,,M. Ambiente / Prevención,[1][2],"Directiva 2006/121, Directiva 67/548, Reglamento (CE) nº 1907/2006"
DIR 2006/122 EUR,122,"Directiva 2006/122/CE del Parlamento Europeo y del Consejo de 12 de diciembre de 2006 por la que se modifica por trigésima vez la Directiva 76/769/CEE del Consejo, relativa a la aproximación de las disposiciones legales, reglamentarias y administrativas de los Estados miembros que limitan la comercialización y el uso de determinadas sustancias y preparados peligrosos (sulfonatos de perfluorooctano).",  EUR,Europa,,M. Ambiente / Prevención,[1][2],"Directiva 2006/122, Directiva 76/769"
DIR 2006/139 EUR,139,Directiva 2006/139 EUR de la Comisión de 20 de diciembre de 2006 por la que se modifica la Directiva 76/769/CEE del Consejo en cuanto a las restricciones de la comercialización y el uso de los compuestos de arsénico con el fin de adaptar su anexo I al progreso técnico.,  EUR,Europa,,M. Ambiente / Prevención,[1][2],"Directiva 2006/139, Directiva 76/769"
DIR 2006/15 EUR,15,Directiva 2006/15/CE de la Comisión de 7 de febrero de 2006 por la que se establece una segunda lista de valores límite de exposición profesional indicativos en aplicación de la Directiva 98/24/CE del Consejo y por la que se modifican las Directivas 91/322/CEE y 2000/39/CE.,  EUR,Europa,,Prevención,[2],"Directiva 2006/15, Directiva 98/24"
DIR 2006/20 EUR,20,"Directiva 2006/20/CE de la Comisión, de 17 de febrero de 2006, por la que se modifica, para adaptarla al progreso técnico, la Directiva 70/221/CEE del Consejo, sobre los depósitos de carburante y los dispositivos de protección trasera de los vehículos de motor y de sus remolques.",  EUR,Europa,,Reg. Industrial,[3],"Directiva 2006/20, Directiva 70/221"
DIR 2006/21 EUR,21,Directiva 2006/21/CE del parlamento europeo y del consejo de 15 de marzo de 2006 sobre la gestión de los residuos de industrias extractivas y por la que se modifica la Directiva 2004/35/CE.,  EUR,Europa,,M. Ambiente,[1],"Directiva 2006/21, Directiva 2004/35"
DIR 2006/25 EUR,25,"Directiva 2006/25/CE del Parlamento Europeo y del Consejo de 5 de abril de 2006 sobre las disposiciones mínimas de seguridad y de salud relativas a la exposición de los trabajadores a riesgos derivados de los agentes físicos (radiaciones ópticas artificiales) (decimonovena Directiva específica con arreglo al artículo 16, apartado 1, de la Directiva 89/391/CEE).",  EUR,Europa,,Prevención,[2],"Directiva 2006/25, Directiva 89/391"
DIR 2006/32 EUR,32,Directiva 2006/32/CE del Parlamento Europeo y del Consejo de 5 de abril de 2006 sobre la eficiencia del uso final de la energía y los servicios energéticos y por la que se deroga la Directiva 93/76/CEE del Consejo.,  EUR,Europa,,M. Ambiente,[1],"Directiva 2006/32, Directiva 93/76"
DIR 2006/40 EUR,40,"Directiva 2006/40/CE del Parlamento Europeo y del Consejo, de 17 de mayo de 2006, relativa a las emisiones procedentes de sistemas de aire acondicionado en vehículos de motor y por la que se modifica la Directiva 70/156/CEE del Consejo.",  EUR,Europa,,M. Ambiente,[1],"Directiva 2006/40, Directiva 70/156"
DIR 2006/42 EUR,42,"Directiva 2006/42/CE del Parlamento Europeo y del Consejo, de 17 de mayo de 2006, relativa a las máquinas y por la que se modifica la Directiva 95/16/CE",  EUR,Europa,,Prevención,[2],"Directiva 2006/42, Directiva 95/16"
DIR 2006/51 EUR,51,"Directiva 2006/51/CE de la Comisión de 6 de junio de 2006 por la que se modifican, para adaptarlos al progreso técnico, el anexo I de la Directiva 2005/55/CE del Parlamento Europeo y del Consejo y los anexos IV y V de la Directiva 2005/78/CE por lo que se refiere a los requisitos del sistema de supervisión del control de emisiones utilizable en los vehículos y a las exenciones aplicables a los motores de gas.",  EUR,Europa,,M. Ambiente,[1],"Directiva 2006/51, Directiva 2005/55, Directiva 2005/78"
DIR 2006/66 EUR,66,Directiva 2006/66/CE del Parlamento Europeo y del Consejo de 6 de septiembre de 2006 relativa a las pilas y acumuladores y a los residuos de pilas y acumuladores,  EUR,Europa,,M. Ambiente,[1],Directiva 2006/66
DIR 2006/7 EUR,7,Directiva 2006/7/CE del Parlamento Europeo y del Consejo de 15 de febrero de 2006 relativa a la gestión de la calidad de las aguas de baño y por la que se deroga la Directiva 76/160/CEE.,  EUR,Europa,,M. Ambiente,[1],"Directiva 2006/7, Directiva 76/160"
DIR 2006/8 EUR,8,"Directiva 2006/8/CE de la Comisión de 23 de enero de 2006 por la que se modifican, para su adaptación al progreso técnico, los anexos II, III y V de la Directiva 1999/45/CE del Parlamento Europeo y del Consejo sobre la aproximación de las disposiciones legales, reglamentarias y administrativas de los Estados miembros relativas a la clasificación, el envasado y el etiquetado de preparados peligrosos.",  EUR,Europa,,M. Ambiente / Prevención,[1][2],"Directiva 2006/8, Directiva 1999/45"
DIR 2006/89 EUR,89,Directiva 2006/89/CE de la Comisión de 3 de noviembre de 2006 por la que se adapta por sexta vez al progreso técnico la Directiva 94/55/CE del Consejo sobre la aproximación de las legislaciones de los Estados miembros con respecto al transporte de mercancías peligrosas por carretera.,  EUR,Europa,,M. Ambiente / Prevención,[1][2],"Directiva 2006/89, Directiva 94/55"
DIR 2006/90 EUR,90,Directiva 2006/90/CE de la Comisión de 3 de noviembre de 2006 por la que se adapta por séptima vez al progreso técnico la Directiva 96/49/CE del Consejo sobre la aproximación de las legislaciones de los Estados miembros relativas al transporte de mercancías peligrosas por ferrocarril.,  EUR,Europa,,M. Ambiente / Prevención,[1][2],"Directiva 2006/90, Directiva 96/49"
DIR 2006/95 EUR,95,Directiva 2006/95/CE del parlamento europeo y del consejo de 12 de diciembre de 2006 relativa a la aproximación de las legislaciones de los Estados miembros sobre el material eléctrico destinado a utilizarse con determinados límites de tensión.,  EUR,Europa,,Reg. Industrial,[3],Directiva 2006/95
DIR 2006/96 EUR,96,"Directiva 2006/96/CE del Consejo, de 20 de noviembre de 2006, por la que se adaptan determinadas directivas en el ámbito de la libre circulación de mercancías, con motivo de la adhesión de Bulgaria y Rumanía.",  EUR,Europa,,Reg. Industrial,[3],Directiva 2006/96
DIR 2007/30 EUR,30,"Directiva 2007/30/CE del Parlamento Europeo y del Consejo, de 20 de junio de 2007, por la que se modifica la Directiva 89/391/CEE del Consejo, sus directivas específicas y las Directivas 83/477/CEE, 91/383/CEE, 92/29/CEE y 94/33/CE del Consejo, a fin de simplificar y racionalizar los informes sobre su aplicación práctica.",  EUR,Europa,,Prevención,[2],"Directiva 2007/30, Directiva 89/391"
DIR 2007/34 EUR,34,"Directiva 2007/34/ce de la Comisión, de 14 de junio de 2007, por la que se modifica, a efectos de su adaptación al progreso técnico, la Directiva 70/157/CEE del Consejo, sobre el nivel sonoro admisible y el dispositivo de escape de los vehículos de motor.",  EUR,Europa,,M. Ambiente,[1],"Directiva 2007/34, Directiva 70/157"
DIR 2007/42 EUR,42,"Directiva 2007/42/CE de la Comisión, de 29 de junio de 2007, relativa a los materiales y objetos de película de celulosa regenerada destinados a entrar en contacto con productos alimenticios.",  EUR,Europa,,Seg. Alimentaria,[7],Directiva 2007/42
DIR 2007/51 EUR,51,Directiva 2007/51/CE Del Parlamento Europeo y del Consejo de 25 de septiembre de 2007 por la que se modifica la Directiva 76/769/CEE del Consejo en lo relativo a las restricciones a la comercialización de determinados dispositivos de medición que contienen mercurio.,  EUR,Europa,,M. Ambiente / Prevención,[1][2],"Directiva 2007/51, Directiva 76/769"
DIR 2007/71 EUR,71,"Directiva 2007/71/CE de la comisión de 13 de diciembre de 2007 por la que se modifica el anexo II de la Directiva 2000/59/CE del Parlamento Europeo y del Consejo, sobre instalaciones portuarias receptoras de desechos generados por buques y residuos de carga.",  EUR,Europa,,M. Ambiente,[1],"Directiva 2007/71, Directiva 2000/59"
DIR 2008/1 EUR,1,"Directiva 2008/1/CE, del Parlamento Europeo y del Consejo, de 15 de enero de 2008 relativa a la prevención y al control integrados de la contaminación.",  EUR,Europa,,M. Ambiente,[1],Directiva 2008/1
DIR 2008/101 EUR,101,"Directiva 2008/101/CE del Parlamento europeo y del Consejo, de 19 de noviembre de 2008, por la que se modifica la Directiva 2003/87/CE con el fin de incluir las actividades de aviación en el régimen comunitario de comercio de derechos de emisión de gases de efecto invernadero.",  EUR,Europa,,M. Ambiente,[1],"Directiva 2008/101, Directiva 2003/87"
DIR 2008/103 EUR,103,"Directiva 2008/103/CE del Parlamento europeo y del Consejo, de 19 de noviembre de 2008, que modifica la Directiva 2006/66/CE, relativa a las pilas y acumuladores y a los residuos de pilas y acumuladores, por lo que respecta a la puesta en el mercado de pilas y acumuladores.",  EUR,Europa,,M. Ambiente,[1],"Directiva 2008/103, Directiva 2006/66"
DIR 2008/105 EUR,105,"Directiva 2008/105/CE del Parlamento europeo  del Consejo, de 16 de diciembre de 2008, relativa a las normas de calidad ambiental en el ámbito de la política de aguas, por la que se modifican y derogan ulteriormente las Directivas 82/176/CEE, 83/513/CEE, 84/156/CEE, 84/491/CEE y 86/280/CEE del Consejo, y por la que se modifica la Directiva 2000/60/CE.",  EUR,Europa,,M. Ambiente,[1],"Directiva 2008/105, Directiva 2000/60"
DIR 2008/112 EUR,112,"Directiva 2008/112/CE del Parlamento europeo y del Consejo, de 16 de diciembre de 2008, que modifica las Directivas 76/768/CEE, 88/378/CEE y 1999/13/CE del Consejo y las Directivas 2000/53/CE, 2002/96/CE y 2004/42/CE del Parlamento Europeo y del Consejo para adaptarlas al Reglamento (CE) no 1272/2008, sobre clasificación, etiquetado y envasado de sustancias y mezclas.",  EUR,Europa,,M. Ambiente,[1],Directiva 2008/112
DIR 2008/114 EUR,114,"Directiva 2008/114/CE del Consejo, de 8 de diciembre de 2008, sobre la identificación y designación de infraestructuras críticas europeas y la evaluación de la necesidad de mejorar su protección.",  EUR,Europa,,M. Ambiente / Prevención,[1][2],Directiva 2008/114
DIR 2008/12 EUR,12,"Directiva 2008/12/CE del Parlamento Europeo y del Consejo, de 11 de marzo de 2008, por la que se modifica la Directiva 2006/66/CE relativa a las pilas y acumuladores y a los residuos de pilas y acumuladores, por lo que se refiere a las competencias de ejecución atribuidas a la Comisión.",  EUR,Europa,,M. Ambiente,[1],"Directiva 2008/12, Directiva 2006/66"
DIR 2008/28 EUR,28,"Directiva 2008/28/CE del parlamento europeo y del consejo de 11 de marzo de 2008 que modifica la Directiva 2005/32/CE, por la que se instaura un marco para el establecimiento de requisitos de diseño ecológico aplicables a los productos que utilizan energía, así como la Directiva 92/42/CEE del Consejo y las Directivas 96/57/CE y 2000/55/CE por lo que se refiere a las competencias de ejecución atribuidas a la Comisión.",  EUR,Europa,,M. Ambiente,[1],"Directiva 2008/28, Directiva 2005/32, Directiva 92/42"
DIR 2008/32 EUR,32,"Directiva 2008/32/CE del Parlamento Europeo y del Consejo, de 11 de marzo de 2008, que modifica la Directiva 2000/60/CE por la que se establece un marco comunitario de actuación en el ámbito de la política de aguas, por lo que se refiere a las competencias de ejecución atribuidas a la Comisión.",  EUR,Europa,,M. Ambiente,[1],"Directiva 2008/32, Directiva 2000/60"
DIR 2008/33 EUR,33,"Directiva 2008/33/CE del Parlamento Europeo y del Consejo, de 11 de marzo de 2008, que modifica la Directiva 2000/53/CE relativa a los vehículos al final de su vida útil, por lo que se refiere a las competencias de ejecución atribuidas a la Comisión.",  EUR,Europa,,M. Ambiente,[1],"Directiva 2008/33, Directiva 2000/53"
DIR 2008/34 EUR,34,"Directiva 2008/34/CE del Parlamento Europeo y del Consejo, de 11 de marzo de 2008, por la que se modifica la Directiva 2002/96/CE sobre residuos de aparatos eléctricos y electrónicos (RAEE), por lo que se refiere a las competencias de ejecución atribuidas a la Comisión.",  EUR,Europa,,M. Ambiente,[1],"Directiva 2008/34, Directiva 2002/96"
DIR 2008/35 EUR,35,"Directiva 2008/35/CE del Parlamento Europeo y del Consejo, de 11 de marzo de 2008, que modifica la Directiva 2002/95/CE sobre restricciones a la utilización de determinadas sustancias peligrosas en aparatos eléctricos y electrónicos, por lo que se refiere a las competencias de ejecución atribuidas a la Comisión.",  EUR,Europa,,M. Ambiente,[1],"Directiva 2008/35, Directiva 2002/95"
